2023-08-04 21:43:54.015 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:43:54.015 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:43:54.015 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:43:54.015 | DEBUG    | __main__:run_forever:55 - Started run_forever
2023-08-04 21:45:27.223 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:45:27.223 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:45:27.223 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:45:27.223 | DEBUG    | __main__:run_forever:55 - Started run_forever
2023-08-04 21:45:44.067 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:45:44.067 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:45:44.067 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:45:44.067 | DEBUG    | __main__:run_forever:55 - Started run_forever
2023-08-04 21:46:56.390 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:46:56.390 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:46:56.390 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:46:56.390 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:47:19.540 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:47:19.540 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:47:19.540 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:47:19.540 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:48:27.394 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:48:27.394 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:48:27.394 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:48:27.394 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:49:17.628 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:49:17.628 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:49:17.628 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:49:17.628 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 21:49:30.718 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:49:30.718 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:49:30.718 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:49:30.718 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 21:50:25.878 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:50:25.878 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:50:25.878 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:50:25.878 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 21:51:23.771 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:51:23.771 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:51:23.771 | DEBUG    | __main__:reset:53 - Reset
2023-08-04 21:51:23.787 | DEBUG    | __main__:run_forever:58 - Started run_forever
2023-08-04 21:51:50.402 | DEBUG    | __main__:reset:54 - Reset
2023-08-04 21:51:50.402 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:51:50.402 | DEBUG    | __main__:reset:54 - Reset
2023-08-04 21:51:50.417 | DEBUG    | __main__:run_forever:59 - Started run_forever
2023-08-04 21:52:47.413 | DEBUG    | __main__:reset:54 - Reset
2023-08-04 21:52:47.413 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:52:47.413 | DEBUG    | __main__:reset:54 - Reset
2023-08-04 21:52:47.441 | DEBUG    | __main__:run_forever:59 - Started run_forever
2023-08-04 21:53:21.158 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:53:21.158 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:53:21.158 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:53:21.174 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:54:11.317 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:54:11.317 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:54:11.317 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:54:11.333 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:55:27.810 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:55:27.810 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:55:27.810 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:55:27.826 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:56:17.350 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:56:17.350 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:56:17.350 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:56:17.361 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:57:16.700 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:57:16.700 | DEBUG    | __main__:__init__:39 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:57:16.700 | DEBUG    | __main__:reset:51 - Reset
2023-08-04 21:57:16.716 | DEBUG    | __main__:run_forever:56 - Started run_forever
2023-08-04 21:58:37.847 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:58:37.847 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-04 21:58:37.847 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 21:58:37.863 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 22:00:02.072 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:00:02.072 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-04 22:00:02.072 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:00:02.087 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 22:01:58.961 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:01:58.961 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-04 22:01:58.961 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:01:58.961 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 22:03:18.361 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:03:18.361 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-04 22:03:18.361 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:03:18.377 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-04 22:03:46.971 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:03:46.971 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-04 22:03:46.971 | DEBUG    | __main__:reset:52 - Reset
2023-08-04 22:03:46.984 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:27:47.971 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:27:47.972 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:27:47.973 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:27:47.983 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:28:46.804 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:28:46.806 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:28:46.807 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:28:46.822 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:37:16.017 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:37:16.018 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:37:16.019 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:37:16.036 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:37:19.795 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:37:19.796 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:37:19.797 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:37:19.815 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:38:19.059 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:38:19.060 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:38:19.062 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:38:19.079 | DEBUG    | __main__:run_forever:57 - Started run_forever
2023-08-05 11:39:39.744 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:39:39.745 | DEBUG    | __main__:__init__:40 - Initialized <class '__main__.DataRecorder'>
2023-08-05 11:39:39.747 | DEBUG    | __main__:reset:52 - Reset
2023-08-05 11:39:39.754 | DEBUG    | __main__:run_forever:57 - Started run_forever
